aired,epid,sid,host,musical_guest,epno
10.02.2021,20210210,47,Owen Wilson, Kacey Musgraves,1
10.09.2021,20210910,47,Kim Kardashian West, Halsey,2
10.16.2021,20211610,47,Rami Malek, Young Thug,3
10.23.2021,20212310,47,Jason Sudeikis, Brandi Carlile,4
11.06.2021,20210611,47,Kieran Culkin, Ed Sheeran,5
11.13.2021,20211311,47,Jonathan Majors, Taylor Swift,6
11.20.2021,20212011,47,Simu Liu, Saweetie,7
12.11.2021,20211112,47,Billie Eilish,Billie Eilish,8
12.18.2021,20211812,47,Paul Rudd,Paul Rudd,9
01.15.2022,20221501,47,Ariana DeBose, Bleachers,10
01.22.2022,20222201,47,Will Forte, MÃ¥neskin,11
01.29.2022,20222901,47,Willem Dafoe, Katy Perry,12
02.26.2022,20222602,47,John Mulaney, LCD Soundsystem,13
03.05.2022,20220503,47,Oscar Isaac, Charli XCX,14
03.12.2022,20221203,47,ZoÃ« Kravitz, RosalÃ­a,15
04.02.2022,20220204,47,Jerrod Carmichael, Gunna,16
04.09.2022,20220904,47,Jake Gyllenhaal, Camila Cabello,17
04.16.2022,20221604,47,Lizzo,Lizzo,18
05.07.2022,20220705,47,Benedict Cumberbatch, Arcade Fire,19
05.14.2022,20221405,47,Selena Gomez, Post Malone,20
05.21.2022,20222105,47,Natasha Lyonne, Japanese Breakfast,21
10.01.2022,20220110,48,Miles Teller, Kendrick Lamar,1
10.08.2022,20220810,48,Brendan Gleeson, WILLOW,2
10.15.2022,20221510,48,Megan Thee Stallion,Megan Thee Stallion,3
10.29.2022,20222910,48,Jack Harlow,Jack Harlow,4
11.05.2022,20220511,48,Amy Schumer, Steve Lacy,5
11.12.2022,20221211,48,Dave Chappelle, Black Star,6
12.03.2022,20220312,48,Keke Palmer, SZA,7
12.10.2022,20221012,48,"Steve Martin, Martin Short", Brandi Carlile,8
12.17.2022,20221712,48,Austin Butler, Lizzo,9
01.21.2023,20232101,48,Aubrey Plaza, Sam Smith,10
01.28.2023,20232801,48,Michael B. Jordan, Lil Baby,11
02.04.2023,20230402,48,Pedro Pascal, Coldplay,12
02.25.2023,20232502,48,Woody Harrelson, Jack White,13
03.04.2023,20230403,48,Travis Kelce, Kelsea Ballerini,14
03.11.2023,20231103,48,Jenna Ortega, The 1975,15
04.01.2023,20230104,48,Quinta Brunson, Lil Yachty,16
04.08.2023,20230804,48,Molly Shannon, Jonas Brothers,17
04.15.2023,20231504,48,Ana de Armas, Karol G,18
10.14.2023,20231410,49,Pete Davidson, Ice Spice,1
10.21.2023,20232110,49,Bad Bunny,Bad Bunny,2
10.28.2023,20232810,49,Nate Bargatze, Foo Fighters,3
11.11.2023,20231111,49,TimothÃ©e Chalamet, boygenius,4
11.18.2023,20231811,49,Jason Momoa, Tate McRae,5
12.02.2023,20230212,49,Emma Stone, Noah Kahan,6
12.09.2023,20230912,49,Adam Driver, Olivia Rodrigo,7
12.16.2023,20231612,49,Kate McKinnon, Billie Eilish,8
01.20.2024,20242001,49,Jacob Elordi, ReneÃ© Rapp,9
01.27.2024,20242701,49,Dakota Johnson, Justin Timberlake,10
02.03.2024,20240302,49,Ayo Edebiri, Jennifer Lopez,11
