cast,wt_rating
Laurie Metcalf,0.46428571428571425
Robert Smigel,0.4914293024621004
Emily Prager,0.5024972168354521
Fred Wolf,0.57992082291347
George Coe,0.5919530771372876
Colin Quinn,0.5958517347229371
Yvonne Hudson,0.6012342440554514
Colin Jost,0.611759678892631
Michael Che,0.6158877575954719
Patrick Weathers,0.6207267245902437
A. Whitney Brown,0.6259221833004041
Jim Downey,0.6414328485602213
Michael O'Donoghue,0.6481685229512326
Al Franken,0.6682978335655715
Alan Zweibel,0.6772637850732708
Don Novello,0.7241348319968399
Dennis Miller,0.7271753548146737
Jerry Minor,0.7693910256410256
Mike O'Brien,0.7756157751562164
Tom Schiller,0.7918433964320005
Dean Edwards,0.8146085038828847
Tina Fey,0.818023831575839
Tom Davis,0.8387125844794897
Dan Vitale,0.8640968406593407
Punkie Johnson,0.8783542499167499
Seth Meyers,0.8886034260655556
Jeff Richards,0.9009808935420874
Beth Cahill,0.9019855172942217
Matthew Laurance,0.9108278411045438
Paul Shaffer,0.9201828693193461
Chris Rock,0.9320590186266584
Finesse Mitchell,0.982299717348737
Tracy Morgan,1.0158209065053305
Norm MacDonald,1.0167450791505412
John Milhiser,1.0250274725274724
Luke Null,1.0274103089892563
Melanie Hutsell,1.0477030735776092
Sarah Silverman,1.0569838523644752
Danitra Vance,1.0864838414509466
Pamela Stephenson,1.0866619784483105
Brian Doyle-Murray,1.0897970716852514
Siobhan Fallon,1.0935460044341623
Rob Riggle,1.1379027553329024
Ben Stiller,1.1414606227106228
Darrell Hammond,1.149136583849629
Anthony Michael Hall,1.1520844579397211
Ellen Cleghorne,1.156369432859371
Bowen Yang,1.180076400232526
Lauren Holt,1.2356410256410255
Brooks Wheelan,1.2386664922379207
Damon Wayans,1.243252218429344
Martin Short,1.245660694639161
Peter Aykroyd,1.260452539098733
Chris Kattan,1.272798741547083
Laura Kightlinger,1.275301319051319
Ann Risley,1.2902206844583004
Horatio Sanz,1.2995764047851286
Terry Sweeney,1.3050319614309551
Jimmy Fallon,1.315236255331912
Robin Duke,1.3162233483532086
Rachel Dratch,1.3307426709560797
Jim Breuer,1.3342328078446233
Andrew Dismukes,1.3553324453324451
Tim Meadows,1.3571300553841157
Adam Sandler,1.3603437827975606
Jay Mohr,1.3660442587715316
Victoria Jackson,1.367188105179112
Morwenna Banks,1.3759812062937062
Jon Rudnitsky,1.38981684981685
Mark McKinney,1.393743086745699
Melissa Villasenor,1.3938894498406362
Jenny Slate,1.395982350982351
Leslie Jones,1.396755191923461
Julia Sweeney,1.400199988893068
Chloe Fineman,1.4208092234562824
Rob Schneider,1.4230315226127597
Pete Davidson,1.4308751243858213
Michaela Watkins,1.4445397478338653
Joan Cusack,1.4477811321232374
Cheri Oteri,1.456390722123015
Molly Shannon,1.4582417986707576
Jim Belushi,1.4680791478182371
Mike Myers,1.4733936681981037
Sasheer Zamata,1.475098410044062
Chris Elliott,1.4811423006817743
Jay Pharoah,1.504065735616376
Rich Hall,1.5063722526452306
Abby Elliott,1.5191201726740942
Paul Brittain,1.5330264343499638
Ego Nwodim,1.5406555379136297
Noel Wells,1.5473356009070296
Nora Dunn,1.5519834635685856
Tim Robinson,1.569087912087912
Jan Hooks,1.5701692992505454
Julia Louis-Dreyfus,1.5752695198619926
Billy Crystal,1.5829389206971534
Will Forte,1.5920814674925772
Mary Gross,1.5978879429179351
Casey Wilson,1.5980947092123563
Denny Dillon,1.6017891757979108
Nancy Walls,1.629069104914693
Chris Redd,1.6362079982049023
Kyle Mooney,1.6401642023305714
David Koechner,1.657629667251516
Gary Kroeger,1.6699233927253885
Nasim Pedrad,1.6764861687601837
Tony Rosato,1.691543666417616
Maya Rudolph,1.6994347907491478
Gail Matthius,1.7192994913583146
Chris Farley,1.7219110177720234
Christine Ebersole,1.7221382183992477
Harry Shearer,1.7288583520678646
Christopher Guest,1.7465556651153538
Brad Hall,1.7596803265864354
Garrett Morris,1.7721168391287203
Ana Gasteyer,1.773431021746203
Fred Armisen,1.7906487155952708
Alex Moffat,1.791110019017575
Robert Downey Jr.,1.8122325527657936
Jason Sudeikis,1.8125799087291583
Dana Carvey,1.8199001519674665
Aidy Bryant,1.8556030333431728
Randy Quaid,1.8607345516902303
Chevy Chase,1.8762987745476614
Vanessa Bayer,1.8806106351964695
Eddie Murphy,1.883825343454766
Jon Lovitz,1.8881573044777684
Heidi Gardner,1.8982038116953386
Andy Samberg,1.8995827217104793
Kevin Nealon,1.9044380060130146
Chris Parnell,1.9148786940319502
Mikey Day,1.9809893081430419
Tim Kazurinsky,2.000400411271735
John Belushi,2.0153438812790503
Kenan Thompson,2.0347655730166623
Laraine Newman,2.0408292050417036
Bobby Moynihan,2.0559271473573135
Kate McKinnon,2.2264297484144184
Charles Rocket,2.232759366106889
Janeane Garofalo,2.282655677655678
Amy Poehler,2.291981114038467
Will Ferrell,2.2922416754813812
Gilda Radner,2.319177567796046
Michael McKean,2.3242240814740813
Jane Curtin,2.337512558759811
Joe Piscopo,2.3422319491164627
Dan Aykroyd,2.372833606002033
Cecily Strong,2.415656691981172
Beck Bennett,2.416021900136113
Bill Hader,2.541246099870699
Taran Killam,2.5596832046727003
Kristen Wiig,2.5879592007046366
Phil Hartman,2.9082008406639273
Bill Murray,2.969162126837466
